lot,wafer,test_site,die_column,die_row,timestamp,device_name,dc_bias_v,current_at_minus_1v_a,current_at_0v_a,current_at_plus_1v_a,wavelength_start_nm,wavelength_stop_nm,point_count,il_min_db,il_max_db,il_mean_db,extinction_ratio_db,wavelength_at_min_il_nm,wavelength_at_max_il_nm,modulation_null_count,modulation_fsr_nm,modulation_mean_abs_dlambda_dv_nm_per_v,modulation_mean_dlambda_dv_nm_per_v,modulation_dlambda_dv_by_null_nm_per_v,modulation_null_wavelengths_0v_nm,modulation_r2_by_null,vpi_mean_v,vpi_min_v,vpi_max_v,vpi_by_null_v,source_file
HY202103,D23,DCM_LMZO,-1,-1,20190531_072042,MZMOTE_LULAB_380_500,-2.0,1.208074e-10,1.273013e-10,1.34298e-10,1279.9839,1339.992,6000,-43.32923889160156,-5.949437618255615,-17.00217495004336,37.37980127334595,1335.0977,1299.574,6,3.70629,0.00313714,-0.000268571,0.001903;-0.001714;0.002743;0.003869;0.000091;-0.008503,1285.4154;1294.9670;1304.7284;1314.6907;1324.7654;1335.0764,0.085714;0.085714;0.428571;0.249816;0.000095;0.126707,3949.38,217.944,20268.8,973.875239;1081.001515;675.625947;479.025782;20268.778361;217.943854,"data\HY202103\D23\20190531_072042\HY202103_D23_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D23,DCM_LMZO,-1,-1,20190531_072042,MZMOTE_LULAB_380_500,-1.5,1.208074e-10,1.273013e-10,1.34298e-10,1279.9836,1339.9916,6000,-43.4805908203125,-5.974829196929932,-17.019381934722265,37.50576162338257,1335.0874,1300.1732,6,3.70629,0.00313714,-0.000268571,0.001903;-0.001714;0.002743;0.003869;0.000091;-0.008503,1285.4154;1294.9670;1304.7284;1314.6907;1324.7654;1335.0764,0.085714;0.085714;0.428571;0.249816;0.000095;0.126707,3949.38,217.944,20268.8,973.875239;1081.001515;675.625947;479.025782;20268.778361;217.943854,"data\HY202103\D23\20190531_072042\HY202103_D23_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D23,DCM_LMZO,-1,-1,20190531_072042,MZMOTE_LULAB_380_500,-1.0,1.208074e-10,1.273013e-10,1.34298e-10,1279.9834,1339.9934,6000,-43.609657287597656,-5.956338882446289,-17.063472618420917,37.65331840515137,1335.057,1299.5731,6,3.70629,0.00313714,-0.000268571,0.001903;-0.001714;0.002743;0.003869;0.000091;-0.008503,1285.4154;1294.9670;1304.7284;1314.6907;1324.7654;1335.0764,0.085714;0.085714;0.428571;0.249816;0.000095;0.126707,3949.38,217.944,20268.8,973.875239;1081.001515;675.625947;479.025782;20268.778361;217.943854,"data\HY202103\D23\20190531_072042\HY202103_D23_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D23,DCM_LMZO,-1,-1,20190531_072042,MZMOTE_LULAB_380_500,-0.5,1.208074e-10,1.273013e-10,1.34298e-10,1279.9838,1339.995,6000,-43.363433837890625,-5.964674472808838,-17.064423205534617,37.39875936508179,1335.1167,1299.5726,6,3.70629,0.00313714,-0.000268571,0.001903;-0.001714;0.002743;0.003869;0.000091;-0.008503,1285.4154;1294.9670;1304.7284;1314.6907;1324.7654;1335.0764,0.085714;0.085714;0.428571;0.249816;0.000095;0.126707,3949.38,217.944,20268.8,973.875239;1081.001515;675.625947;479.025782;20268.778361;217.943854,"data\HY202103\D23\20190531_072042\HY202103_D23_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D23,DCM_LMZO,-1,-1,20190531_072042,MZMOTE_LULAB_380_500,0.0,1.208074e-10,1.273013e-10,1.34298e-10,1279.9842,1339.9949,6000,-43.358863830566406,-5.972279071807861,-17.056169739484787,37.386584758758545,1335.067,1299.5941,6,3.70629,0.00313714,-0.000268571,0.001903;-0.001714;0.002743;0.003869;0.000091;-0.008503,1285.4154;1294.9670;1304.7284;1314.6907;1324.7654;1335.0764,0.085714;0.085714;0.428571;0.249816;0.000095;0.126707,3949.38,217.944,20268.8,973.875239;1081.001515;675.625947;479.025782;20268.778361;217.943854,"data\HY202103\D23\20190531_072042\HY202103_D23_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D23,DCM_LMZO,-1,-1,20190531_072042,MZMOTE_LULAB_380_500,0.5,1.208074e-10,1.273013e-10,1.34298e-10,1279.9838,1339.9956,6000,-43.37921142578125,-5.96222448348999,-17.0525979385376,37.41698694229126,1335.0664,1299.572,6,3.70629,0.00313714,-0.000268571,0.001903;-0.001714;0.002743;0.003869;0.000091;-0.008503,1285.4154;1294.9670;1304.7284;1314.6907;1324.7654;1335.0764,0.085714;0.085714;0.428571;0.249816;0.000095;0.126707,3949.38,217.944,20268.8,973.875239;1081.001515;675.625947;479.025782;20268.778361;217.943854,"data\HY202103\D23\20190531_072042\HY202103_D23_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D23,DCM_LMZO,-3,-1,20190531_072042,MZMOTE_LULAB_380_500,-2.0,1.187963e-10,1.279716e-10,1.255417e-10,1279.9832,1339.9964,6000,-44.191490173339844,-6.798461437225342,-18.200616397301356,37.3930287361145,1337.8145,1293.4004,6,4.38638,0.00491905,-0.00116286,0.001766;0.000000;0.000000;-0.005097;-0.013149;0.009503,1288.4534;1297.9600;1307.7609;1317.6879;1327.7321;1337.8105,0.154286;0.000000;0.000000;0.405932;0.727275;0.108837,1.77629e+13,166.801,7.82868e+13,1242.097267;28290417026430.738281;78286845486057.859375;430.278089;166.800546;230.792577,"data\HY202103\D23\20190531_072042\HY202103_D23_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D23,DCM_LMZO,-3,-1,20190531_072042,MZMOTE_LULAB_380_500,-1.5,1.187963e-10,1.279716e-10,1.255417e-10,1279.9837,1339.9912,6000,-44.33723831176758,-6.751715183258057,-18.22091152000427,37.58552312850952,1337.7661,1293.4007,6,4.38638,0.00491905,-0.00116286,0.001766;0.000000;0.000000;-0.005097;-0.013149;0.009503,1288.4534;1297.9600;1307.7609;1317.6879;1327.7321;1337.8105,0.154286;0.000000;0.000000;0.405932;0.727275;0.108837,1.77629e+13,166.801,7.82868e+13,1242.097267;28290417026430.738281;78286845486057.859375;430.278089;166.800546;230.792577,"data\HY202103\D23\20190531_072042\HY202103_D23_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D23,DCM_LMZO,-3,-1,20190531_072042,MZMOTE_LULAB_380_500,-1.0,1.187963e-10,1.279716e-10,1.255417e-10,1279.9832,1339.9963,6000,-44.25736618041992,-6.757366180419922,-18.205813433806103,37.5,1337.7858,1293.411,6,4.38638,0.00491905,-0.00116286,0.001766;0.000000;0.000000;-0.005097;-0.013149;0.009503,1288.4534;1297.9600;1307.7609;1317.6879;1327.7321;1337.8105,0.154286;0.000000;0.000000;0.405932;0.727275;0.108837,1.77629e+13,166.801,7.82868e+13,1242.097267;28290417026430.738281;78286845486057.859375;430.278089;166.800546;230.792577,"data\HY202103\D23\20190531_072042\HY202103_D23_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D23,DCM_LMZO,-3,-1,20190531_072042,MZMOTE_LULAB_380_500,-0.5,1.187963e-10,1.279716e-10,1.255417e-10,1279.9839,1339.9957,6000,-44.26652526855469,-6.755990982055664,-18.21608455737432,37.51053428649902,1337.8142,1293.3992,6,4.38638,0.00491905,-0.00116286,0.001766;0.000000;0.000000;-0.005097;-0.013149;0.009503,1288.4534;1297.9600;1307.7609;1317.6879;1327.7321;1337.8105,0.154286;0.000000;0.000000;0.405932;0.727275;0.108837,1.77629e+13,166.801,7.82868e+13,1242.097267;28290417026430.738281;78286845486057.859375;430.278089;166.800546;230.792577,"data\HY202103\D23\20190531_072042\HY202103_D23_(-1,-3)_LION1_DCM_LMZO.xml"
