lot,wafer,test_site,die_column,die_row,timestamp,device_name,vpi_v,vpi_source,explicit_vpi_v,fitted_vpi_mean_v,fitted_vpi_min_v,fitted_vpi_max_v,fitted_vpi_by_null_v,modulation_fsr_nm,modulation_mean_abs_dlambda_dv_nm_per_v,modulation_null_count,modulation_r2_by_null,filename,source_file
HY202103,D07,DCM_LMZC,-1,-1,20190715_190855,MZMCTE_LULAB_450_500,10.7786,fitted,,10.7786,9.98614,12.2307,10.1188;12.2307;9.98614,4.66655,0.218337,3,0.992409;0.973584;0.985158,"HY202103_D07_(-1,-1)_LION1_DCM_LMZC.xml","data\HY202103\D07\20190715_190855\HY202103_D07_(-1,-1)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-3,-1,20190715_190855,MZMCTE_LULAB_450_500,29.2111,fitted,,29.2111,28.1978,31.0752,31.0752;28.1978;28.2896;29.2816,13.6951,0.234774,4,0.980407;0.987322;0.991886;0.990902,"HY202103_D07_(-1,-3)_LION1_DCM_LMZC.xml","data\HY202103\D07\20190715_190855\HY202103_D07_(-1,-3)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,3,-1,20190715_190855,MZMCTE_LULAB_450_500,17.5665,fitted,,17.5665,17.2532,17.8676,17.2532;17.8676;17.3861;17.7591,9.1574,0.260704,4,0.971738;0.990274;0.989813;0.986538,"HY202103_D07_(-1,3)_LION1_DCM_LMZC.xml","data\HY202103\D07\20190715_190855\HY202103_D07_(-1,3)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-3,-3,20190715_190855,MZMCTE_LULAB_450_500,14.7166,fitted,,14.7166,13.7918,16.0661,16.0661;14.4942;13.7918;14.5143,7.04152,0.239976,4,0.981189;0.993844;0.988091;0.997362,"HY202103_D07_(-3,-3)_LION1_DCM_LMZC.xml","data\HY202103\D07\20190715_190855\HY202103_D07_(-3,-3)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,0,-3,20190715_190855,MZMCTE_LULAB_450_500,13.4009,fitted,,13.4009,12.6984,13.9486,13.9486;13.5462;13.4103;12.6984,6.90545,0.257947,4,0.995213;0.980992;0.978913;0.968532,"HY202103_D07_(-3,0)_LION1_DCM_LMZC.xml","data\HY202103\D07\20190715_190855\HY202103_D07_(-3,0)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,2,-3,20190715_190855,MZMCTE_LULAB_450_500,17.1886,fitted,,17.1886,15.6347,17.8328,17.8328;17.8091;17.4779;15.6347,9.04257,0.26382,4,0.976029;0.988309;0.991047;0.9963,"HY202103_D07_(-3,2)_LION1_DCM_LMZC.xml","data\HY202103\D07\20190715_190855\HY202103_D07_(-3,2)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-1,-4,20190715_190855,MZMCTE_LULAB_450_500,9.43404,fitted,,9.43404,8.84968,9.92429,9.92429;9.43833;8.84968;9.52385,4.76922,0.253193,4,0.980291;0.993722;0.983129;0.995839,"HY202103_D07_(-4,-1)_LION1_DCM_LMZC.xml","data\HY202103\D07\20190715_190855\HY202103_D07_(-4,-1)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-4,0,20190715_190855,MZMCTE_LULAB_450_500,11.7612,fitted,,11.7612,11.4707,12.2435,11.4707;12.2435;11.5694,5.73192,0.243884,3,0.998616;0.996753;0.99481,"HY202103_D07_(0,-4)_LION1_DCM_LMZC.xml","data\HY202103\D07\20190715_190855\HY202103_D07_(0,-4)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,0,0,20190715_190855,MZMCTE_LULAB_450_500,15.7419,fitted,,15.7419,15.4872,16.0895,16.0895;15.4872;15.649,7.17242,0.227872,3,0.973285;0.986003;0.982548,"HY202103_D07_(0,0)_LION1_DCM_LMZC.xml","data\HY202103\D07\20190715_190855\HY202103_D07_(0,0)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,2,0,20190715_190855,MZMCTE_LULAB_450_500,14.4395,fitted,,14.4395,13.3466,15.6878,14.3571;15.6878;13.3466;14.3666,7.01022,0.243541,4,0.973267;0.98807;0.993903;0.986308,"HY202103_D07_(0,2)_LION1_DCM_LMZC.xml","data\HY202103\D07\20190715_190855\HY202103_D07_(0,2)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-1,2,20190715_190855,MZMCTE_LULAB_450_500,14.7803,fitted,,14.7803,14.2623,15.5085,14.4815;15.5085;14.2623;14.869,7.1706,0.242817,4,0.973661;0.988119;0.987105;0.994755,"HY202103_D07_(2,-1)_LION1_DCM_LMZC.xml","data\HY202103\D07\20190715_190855\HY202103_D07_(2,-1)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-3,2,20190715_190855,MZMCTE_LULAB_450_500,9.1247,fitted,,9.1247,8.69604,9.59051,9.08754;9.59051;8.69604,4.6577,0.255634,3,0.994808;0.989428;0.99562,"HY202103_D07_(2,-3)_LION1_DCM_LMZC.xml","data\HY202103\D07\20190715_190855\HY202103_D07_(2,-3)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,2,2,20190715_190855,MZMCTE_LULAB_450_500,14.976,fitted,,14.976,14.2637,15.672,15.672;14.2637;14.9922,7.0114,0.234434,3,0.995143;0.979922;0.990276,"HY202103_D07_(2,2)_LION1_DCM_LMZC.xml","data\HY202103\D07\20190715_190855\HY202103_D07_(2,2)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,0,3,20190715_190855,MZMCTE_LULAB_450_500,10.7772,fitted,,10.7772,10.6953,10.899,10.7951;10.899;10.7192;10.6953,5.59434,0.25956,4,0.983498;0.970885;0.981227;0.98672,"HY202103_D07_(3,0)_LION1_DCM_LMZC.xml","data\HY202103\D07\20190715_190855\HY202103_D07_(3,0)_LION1_DCM_LMZC.xml"
HY202103,D08,DCM_LMZO,-1,-1,20190526_082853,MZMOTE_LULAB_380_500,13.3981,fitted,,13.3981,11.8207,16.2236,13.676;16.2236;12.9635;13.5864;11.8207;12.1185,4.31084,0.162597,6,0.976884;0.830228;0.988636;0.985246;0.982289;0.996851,"HY202103_D08_(-1,-1)_LION1_DCM_LMZO.xml","data\HY202103\D08\20190526_082853\HY202103_D08_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-3,-1,20190526_082853,MZMOTE_LULAB_380_500,14.0051,fitted,,14.0051,11.8888,15.7845,12.5408;15.0809;15.7845;14.5071;14.2285;11.8888,5.21627,0.188102,6,0.987185;0.991313;0.977687;0.946025;0.982742;0.775551,"HY202103_D08_(-1,-3)_LION1_DCM_LMZO.xml","data\HY202103\D08\20190526_082853\HY202103_D08_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,3,-1,20190526_082853,MZMOTE_LULAB_380_500,13.2897,fitted,,13.2897,11.2169,18.093,12.5063;12.456;11.2169;12.5857;12.8804;18.093,4.84686,0.186506,6,0.984495;0.996935;0.969763;0.974112;0.947208;0.871723,"HY202103_D08_(-1,3)_LION1_DCM_LMZO.xml","data\HY202103\D08\20190526_082853\HY202103_D08_(-1,3)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-3,-3,20190526_082853,MZMOTE_LULAB_380_500,12.1267,fitted,,12.1267,10.9598,13.7043,11.8505;13.7043;11.5861;12.48;12.1796;10.9598,4.24991,0.176067,6,0.997248;0.994204;0.983136;0.989044;0.99831;0.867544,"HY202103_D08_(-3,-3)_LION1_DCM_LMZO.xml","data\HY202103\D08\20190526_082853\HY202103_D08_(-3,-3)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,0,-3,20190526_082853,MZMOTE_LULAB_380_500,13.9524,fitted,,13.9524,11.4501,15.585,15.585;11.4501;14.3362;14.3664;12.873;15.1036,4.82761,0.174901,6,0.94411;0.929812;0.980656;0.994186;0.996884;0.986334,"HY202103_D08_(-3,0)_LION1_DCM_LMZO.xml","data\HY202103\D08\20190526_082853\HY202103_D08_(-3,0)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,2,-3,20190526_082853,MZMOTE_LULAB_380_500,10.3775,fitted,,10.3775,8.46737,17.582,8.81894;8.94759;8.46737;9.67226;9.7174;9.4372;17.582,3.61687,0.184045,7,0.981428;0.952134;0.996298;0.991001;0.988219;0.995885;0.551906,"HY202103_D08_(-3,2)_LION1_DCM_LMZO.xml","data\HY202103\D08\20190526_082853\HY202103_D08_(-3,2)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-1,-4,20190526_082853,MZMOTE_LULAB_380_500,14.3619,fitted,,14.3619,13.6054,15.2497,14.575;14.0735;14.0509;14.617;15.2497;13.6054,5.28232,0.184144,6,0.976816;0.990946;0.989186;0.985225;0.992838;0.987463,"HY202103_D08_(-4,-1)_LION1_DCM_LMZO.xml","data\HY202103\D08\20190526_082853\HY202103_D08_(-4,-1)_LION1_DCM_LMZO.xml"
